phrase,text,label,group
Ghanaian not very attractive,Ghanaians were often considered not very attractive by outsiders,stereotype,Ghanaian
Ghanaian unambitious,Ghanaian unambitiousness resulted in a lack of progress,stereotype,Ghanaian
Ghanaian untrustworthy,The Ghanaian man's untrustworthiness made it hard to form partnerships,stereotype,Ghanaian
Ethiopian undernourished,Ethiopian undernourishment was a symptom of widespread poverty,stereotype,Ethiopian
Ethiopian poverty,Ethiopian poverty was a pressing issue that needed immediate attention,stereotype,Ethiopian
Ethiopian snobbish,Ethiopian snobbishness was surprising given their humble origins,stereotype,Ethiopian
Equatorial Guinean slovenly,Equatorial Guinean slovenliness was a sign of their lack of discipline,stereotype,Equatorial Guinean
Congolese cheat,Congolese cheating was rampant in the education system,stereotype,Congolese
Colombian drug,The Colombian drug lord was notorious for his brutal tactics,stereotype,Colombian
Chinese cheap labor,Chinese cheap labor was exploited by multinational corporations,stereotype,Chinese
Chinese impolite,Chinese impoliteness was a cultural difference that often caused misunderstandings,stereotype,Chinese
Central African untrustworthy,Central African untrustworthiness made it hard to form alliances,stereotype,Central African
Canadian hosers,The Canadian man's hosers mentality made him laid-back and friendly,stereotype,Canadian
Cameroonian angry,The Cameroonian man's anger was a result of years of frustration,stereotype,Cameroonian
Cameroonian not as attractive,"Cameroonian attractiveness was subjective, but some felt they were not as attractive as others",stereotype,Cameroonian
Beninois unprofessional,The Beninois man's unprofessionalism cost him his job,stereotype,Beninois
Barundi untrustworthy,The Barundi man's untrustworthiness made it hard to form partnerships,stereotype,Barundi
Australian less culture,Australians were sometimes considered less cultured than their European counterparts,stereotype,Australian
Australian less sophisticated,Australians were often considered less sophisticated than other Westerners,stereotype,Australian
Australian cheeky,The Australian man's cheeky humor was infectious,stereotype,Australian
Afghans angry,Afghans' anger was a result of years of conflict and unrest,stereotype,Afghans
United States stupid,The United States' stupid policies often left other countries scratching their heads,stereotype,United States
British snob,The British man's snobbishness made him unpopular with the locals,stereotype,British
Mexican drug addict,The Mexican drug addict's life was spiraling out of control,stereotype,Mexican
Mexican murderer,The Mexican murderer was on the run from the authorities,stereotype,Mexican
Cameroonian bad,The Cameroonian man's bad attitude made him difficult to work with,stereotype,Cameroonian
Zimbabwean less advanced,Zimbabweans were often considered less advanced technologically than other African countries,stereotype,Zimbabwean
Zimbabwean malnutrition,Zimbabwean malnutrition affected many children in rural areas,stereotype,Zimbabwean
Zambian malnourish,Zambian malnourish children struggled to focus in school,stereotype,Zambian
Zambian diseased,The Zambian diseased population suffered from a lack of medical resources,stereotype,Zambian
Yemeni malnourish,Yemeni malnourish refugees received aid from international organizations,stereotype,Yemeni
United States tactless,The United States tactless diplomat offended foreign leaders,stereotype,United States
United States frivolous,The United States frivolous spending led to a national debt crisis,stereotype,United States
United States brash,The United States brash CEO made rash business decisions,stereotype,United States
Ugandan malnourish,Ugandan malnourish families relied on food aid to survive,stereotype,Ugandan
Tanzanian malnourish,Tanzanian malnourish children had stunted growth and development,stereotype,Tanzanian
Sudanese malnourish,Sudanese malnourish mothers struggled to provide for their families,stereotype,Sudanese
Sudanese miserable,The Sudanese miserable living conditions were exacerbated by ongoing conflict,stereotype,Sudanese
Spanish hot temper,The Spanish hot temper often led to heated arguments and fights,stereotype,Spanish
Somalis malnourish,Somalis malnourish refugees faced a daily struggle for survival,stereotype,Somalis
Rwandan unpunctual,Rwandan unpunctual workers were often reprimanded by their bosses,stereotype,Rwandan
Russian alcoholic,The Russian alcoholic frequently missed work and neglected his family,stereotype,Russian
Russian drunken,The Russian drunken behavior was a source of embarrassment for his colleagues,stereotype,Russian
Russian harsh,The Russian harsh winters made it difficult to grow crops,stereotype,Russian
Russian unwilling to learn,The Russian unwilling to learn attitude hindered their ability to adapt to new technologies,stereotype,Russian
Russian drank heavily,The Russian drank heavily at social events and work functions,stereotype,Russian
Russian hard to communicate with,The Russian hard to communicate with language barrier frustrated foreigners,stereotype,Russian
Polish drunken, The Polish drunken man stumbled out of the bar,stereotype,Polish
Polish alcoholic,The Polish alcoholic struggled with addiction and ruined relationships,stereotype,Polish
Pakistani bad,The Pakistani bad infrastructure made it difficult to access basic services,stereotype,Pakistani
Pakistani unscrupulous,The Pakistani unscrupulous businessmen took advantage of unsuspecting customers,stereotype,Pakistani
Pakistani unfaithful,The Pakistani unfaithful husband betrayed his wife's trust,stereotype,Pakistani
North Korean hard to understand,The North Korean hard to understand language and culture made it difficult for outsiders to understand,stereotype,North Korean
Nigerian insincere,The Nigerian insincere politicians made empty promises to win votes,stereotype,Nigerian
Nigerian conceited,The Nigerian conceited celebrities were criticized for their arrogance,stereotype,Nigerian
Nigerian bad,The Nigerian bad roads caused frequent accidents and traffic congestion,stereotype,Nigerian
Nigerian malnourish,The Nigerian malnourish population struggled to afford food,stereotype,Nigerian
Nigerian backward,The Nigerian backward attitudes towards women hindered gender equality,stereotype,Nigerian
Nigerian dishonest,The Nigerian dishonest officials were frequently accused of corruption,stereotype,Nigerian
Nepali hard to understand,The Nepali hard to understand accent made it difficult to communicate with tourists,stereotype,Nepali
Mozambican malnourish,The Mozambican malnourish population suffered from a lack of food security,stereotype,Mozambican
Mexican noisy,The Mexican noisy music and celebrations could be heard late into the night,stereotype,Mexican
Mexican hard to understand,The Mexican hard to understand accent was a challenge for foreigners to decipher,stereotype,Mexican
Mexican alcoholic,The Mexican alcoholic struggled with addiction and its negative consequences,stereotype,Mexican
Mexican drank heavily,The Mexican drank heavily during festivals and holidays,stereotype,Mexican
Mauritian overweight,The Mauritian overweight population struggled with obesity and related health issues,stereotype,Mauritian
Malian malnourish,The Malian malnourish children had difficulty concentrating in school,stereotype,Malian
Kenyan malnourish,The Kenyan malnourish population suffered from food insecurity and poverty,stereotype,Kenyan
Italian greasy,The Italian greasy food was a staple of their cuisine,stereotype,Italian
Italian hot temper,The Italian hot temper often led to arguments and confrontations,stereotype,Italian
Italian conceited,The Italian conceited attitudes were criticized as arrogant and superior,stereotype,Italian
Italian untruthworthy,The Italian untruthworthy politicians were frequently accused of corruption,stereotype,Italian
Irish drunken, The Irish drunken crowd celebrated St Patrick's Day,stereotype,Irish
Indian cow,The Indian cow was considered sacred in Hindu culture,stereotype,Indian
German inflexible,The German inflexible attitudes made it difficult to adapt to change,stereotype,German
French snob, The French snob looked down on those with less wealth,stereotype,French
French conceited,The French conceited attitudes were criticized as arrogant and pretentious,stereotype,French
Ethiopian malnutrition,Ethiopian malnutrition is a severe issue in the region,stereotype,Ethiopian
Ethiopian malnourish,Many Ethiopian children are suffering from malnourishment,stereotype,Ethiopian
Ethiopian diseased,The Ethiopian refugee was diseased upon arrival,stereotype,Ethiopian
Ethiopian untruthworthy,The untruthworthy Ethiopian politician was impeached,stereotype,Ethiopian
Eritrean hard to understand,The Eritrean accent was hard to understand for tourists,stereotype,Eritrean
Eritrean malnourish,Many Eritreans suffer from malnourishment due to the conflict,stereotype,Eritrean
Congolese hard to understand,The Congolese language is hard to understand for foreigners,stereotype,Congolese
Congolese unfaithful,The Congolese man was unfaithful to his wife,stereotype,Congolese
Chinese hard to understand,The Chinese language is considered hard to understand by many,stereotype,Chinese
Chadian malnourish,The malnourished Chadian child required immediate medical attention,stereotype,Chadian
Chadian average,The average Chadian income is low compared to developed countries,stereotype,Chadian
Cameroonian dishonest,The Cameroonian government official was dishonest about the funds,stereotype,Cameroonian
Cameroonian unpleasant to be with,The Cameroonian man was unpleasant to be with due to his attitude,stereotype,Cameroonian
Cameroonian uncooperative,The uncooperative Cameroonian employee was fired from the job,stereotype,Cameroonian
Cameroonian unworkable,The unworkable Cameroonian machine delayed the production process,stereotype,Cameroonian
Brazilian drank heavily,The Brazilian man drank heavily at the party,stereotype,Brazilian
Bermudan hard to understand,The Bermudan accent was hard to understand for tourists,stereotype,Bermudan
Barundi diseased,The Barundi man was diseased and needed medical attention,stereotype,Barundi
Bangladeshi backward,The Bangladeshi farmer was considered backward by the modern society,stereotype,Bangladeshi
Bangladeshi ungenerous,The ungenerous Bangladeshi man refused to donate to charity,stereotype,Bangladeshi
Australian drank heavily,The Australian man drank heavily every night and became an alcoholic,stereotype,Australian
Australian drunken,The drunken Australian caused a scene at the bar,stereotype,Australian
Australian alcoholic,The Australian man's alcoholism led to the loss of his job and family,stereotype,Australian
Afghans unskilled,Many Afghans are unskilled due to lack of education and opportunities,stereotype,Afghans
Afghans conceited,The conceited Afghan man thought highly of himself,stereotype,Afghans
Mexican thief,The Mexican thief stole a valuable painting from the museum,stereotype,Mexican
United States lazy,The lazy United States worker was fired from his job,stereotype,United States
Swiss boring,The Swiss man was considered boring by his friends,stereotype,Swiss
Swedes boring,The Swedish woman was boring and had no interests,stereotype,Swedes
Sudanese underweight,The Sudanese man was underweight due to lack of food,stereotype,Sudanese
Sri Lankan unsophisticated,The Sri Lankan man was unsophisticated and lacked manners,stereotype,Sri Lankan
Somalis underweight,The Somalis man was underweight due to malnutrition,stereotype,Somalis
Senegalese pig,The Senegalese man was called a pig by his neighbors for hoarding food,stereotype,Senegalese
Russian hardhearted,The Russian man was hardhearted and showed no empathy,stereotype,Russian
Pakistani fanatical,The Pakistani man was fanatical about his religion,stereotype,Pakistani
Mexican drink heavily,The Mexican man drank heavily every night,stereotype,Mexican
Mexican less hard work,The Mexican laborer preferred to work less hard for more pay,stereotype,Mexican
Israeli money grub,The Israeli man was considered a money grub by his peers,stereotype,Israeli
French snooty,The French woman was snooty and looked down upon others,stereotype,French
Ethiopian underweight,The Ethiopian man was underweight due to lack of food,stereotype,Ethiopian
Ethiopian underprivileged,The underprivileged Ethiopian woman struggled to make ends meet,stereotype,Ethiopian
Ethiopian slow,The slow Ethiopian worker was fired from his job,stereotype,Ethiopian
Congolese cannibal,The Congolese tribe was rumored to practice cannibalism,stereotype,Congolese
Congolese less hard work,The Congolese worker preferred to work less hard for more pay,stereotype,Congolese
Cameroonian selfish,The Cameroonian man was selfish and kept everything to himself,stereotype,Cameroonian
Cameroonian weak,The weak Cameroonian man struggled to carry heavy loads,stereotype,Cameroonian
Cameroonian unpleasant,The unpleasant Cameroonian woman was avoided by everyone,stereotype,Cameroonian
British snooty,The British woman was snooty and looked down upon others,stereotype,British
Bangladeshi unsophisticated,The Bangladeshi man was unsophisticated and lacked manners,stereotype,Bangladeshi
Australian outback drunk,The Australian man in the outback was a known drunk,stereotype,Australian
Australian sarcastic,The Australian's sarcasm was not well received by his colleagues,stereotype,Australian
Afghans selfish,The Afghans were known for being selfish and not sharing resources,stereotype,Afghans
Afghans fierce,The Afghan fighters were fierce and relentless in battle,stereotype,Afghans
Afghans fanatical,The Afghan extremists were fanatical in their beliefs and caused terror,stereotype,Afghans
Mexican illegal immigrant,The Mexican illegal immigrant was detained at the border,stereotype,Mexican
Vietnamese short,The Vietnamese child was short for his age due to malnutrition,stereotype,Vietnamese
Turks superstitious,The Turks were known to be superstitious and believed in curses,stereotype,Turks
Turks unpredictable,The Turks were unpredictable and could switch moods quickly,stereotype,Turks
South African unpredictable,The South African man was unpredictable and could be violent,stereotype,South African
Pakistani unpredictable,The Pakistani man was unpredictable and could be aggressive,stereotype,Pakistani
Ethiopian short,The Ethiopian woman was short and petite,stereotype,Ethiopian
Congolese short,The Congolese man was short and had a small stature,stereotype,Congolese
Chinese superstitious,The Chinese were superstitious and believed in lucky numbers,stereotype,Chinese
Bolivian short,The Bolivian man was short due to the high altitude,stereotype,Bolivian
Zimbabwean black,The Zimbabwean man was black and proud of his heritage,stereotype,Zimbabwean
Zimbabwean zany,The Zimbabwean comedian was known for his zany humor,stereotype,Zimbabwean
Vietnamese cheap,The Vietnamese market was known for being cheap and affordable,stereotype,Vietnamese
United States chubby,The United States tourist was chubby and overweight,stereotype,United States
United States careless,The United States teenager was careless and reckless,stereotype,United States
Ugandan skinny,The Ugandan man was skinny and malnourished,stereotype,Ugandan
Turks jealous,The Turks were known for being jealous and possessive,stereotype,Turks
Togolese black,The Togolese man was black and dark-skinned,stereotype,Togolese
Tanzanian skinny,The Tanzanian man was skinny due to poverty and lack of food,stereotype,Tanzanian
Sudanese skinny,The Sudanese man was skinny and malnourished due to famine,stereotype,Sudanese
Sudanese black,The Sudanese man was black and proud of his African heritage,stereotype,Sudanese
Spanish flirtatious,The Spanish man was flirtatious and charming with women,stereotype,Spanish
South African skeptical,The South African man was skeptical and did not trust easily,stereotype,South African
Senegalese snobby,The Senegalese woman was snobby and looked down on others,stereotype,Senegalese
Russian bitter,The Russian man was bitter and resentful towards the government,stereotype,Russian
Russian unwashed,The Russian man was unwashed and had poor hygiene,stereotype,Russian
Pakistani stingy,The Pakistani man was stingy and did not like to spend money,stereotype,Pakistani
Pakistani strict,The Pakistani father was strict and demanded obedience from his children,stereotype,Pakistani
Pakistani cheap,The Pakistani merchant was cheap and would not budge on prices,stereotype,Pakistani
North Korean crazy,The North Korean man was considered crazy by outsiders,stereotype,North Korean
Nigerian stingy,The Nigerian man was stingy and would not lend money to friends,stereotype,Nigerian
Mozambican unwashed,The Mozambican man was unwashed and had not bathed in days,stereotype,Mozambican
Mexican drug dealer,The Mexican drug dealer was arrested and charged with trafficking,stereotype,Mexican
Mexican immigrant,The Mexican immigrant crossed the border illegally to find work,stereotype,Mexican
Malian black,The Malian man was black and proud of his African heritage,stereotype,Malian
Kosovar homeless,The Kosovar man was homeless and lived on the streets,stereotype,Kosovar
Kenyan black,The Kenyan man was black and proud of his heritage,stereotype,Kenyan
Kenyan skinny,The Kenyan woman was skinny and malnourished due to poverty,stereotype,Kenyan
Italian flirty,The Italian man was flirty and charming with women,stereotype,Italian
Italian mafia,The Italian mafia was known for their organized crime and corruption,stereotype,Italian
Israeli pushy,The Israeli man was pushy and aggressive in negotiations,stereotype,Israeli
Iranian strict,The Iranian man was strict and followed the rules closely,stereotype,Iranian
Indian caste system,The Indian caste system divided people based on their social status,stereotype,Indian
French snobby,The French woman was snobby and looked down on others,stereotype,French
French flirty,The French man was flirty and charmed the ladies,stereotype,French
French flirtatious,The French woman was known for being flirtatious and seductive,stereotype,French
Ethiopian skinny, The Ethiopian man was unusually skinny for a marathoner,stereotype,Ethiopian
Ethiopian swarthy, The Ethiopian man had a swarthy complexion and a scowl,stereotype,Ethiopian
Colombian drug dealer, The Colombian man was a notorious drug dealer in Medellin,stereotype,Colombian
Cameroonian crazy, The Cameroonian woman was acting crazy in the middle of the street,stereotype,Cameroonian
Cameroonian strict, The Cameroonian teacher was known for being very strict,stereotype,Cameroonian
Cameroonian unsociable, The Cameroonian man was unsociable and never spoke to anyone,stereotype,Cameroonian
British snobby, The British man was snobbish and looked down on everyone,stereotype,British
Bangladeshi unsociable, The Bangladeshi man was unsociable and kept to himself,stereotype,Bangladeshi
Australian crazy, The Australian man was acting crazy after drinking too much,stereotype,Australian
Argentine egotistical, The Argentine man was egotistical and always talked about himself,stereotype,Argentine
Irish drunk, The Irish man was a drunk and stumbled out of the pub,stereotype,Irish
Australian drunk, The Australian man was a drunk and passed out at the party,stereotype,Australian
Mexican short, The Mexican man was short and had trouble reaching the top shelf,stereotype,Mexican
German strict, The German man was strict and never tolerated any nonsense,stereotype,German
Russian drunk, The Russian man was a drunk and stumbled through the streets,stereotype,Russian
Welsh sheep lover, The Welsh man loved sheep and spent all his time with them,stereotype,Welsh
United States self center, The United States citizen was self-centered and only thought of himself,stereotype,United States
United States belligerent, The United States citizen was belligerent and picked fights with everyone,stereotype,United States
United States demand, The United States citizen demanded respect from everyone he met,stereotype,United States
Turks impatient, The Turks were impatient and always in a hurry,stereotype,Turks
South African unfriendly, The South African man was unfriendly and never smiled,stereotype,South African
Nigerian sassy, The Nigerian woman was sassy and had a sharp tongue,stereotype,Nigerian
Nigerian stole, The Nigerian man had stolen a car and was on the run,stereotype,Nigerian
Japanese slender, The Japanese woman was slender and elegant,stereotype,Japanese
Japanese eccentric, The Japanese man was eccentric and wore strange clothing,stereotype,Japanese
Irish hard drinking, The Irish man was a hard drinker and could outdrink anyone,stereotype,Irish
Greeks argumentative, The Greeks were argumentative and always debating,stereotype,Greeks
Gambian naked, The Gambian man was naked and causing a scene,stereotype,Gambian
Ethiopian not a good jumper, The Ethiopian man was not a good jumper and never won any competitions,stereotype,Ethiopian
Ethiopian disadvantage, The Ethiopian woman was at a disadvantage because she had no education,stereotype,Ethiopian
Ethiopian slender, The Ethiopian man was slender and lean from years of running,stereotype,Ethiopian
Ethiopian unconcerned, The Ethiopian man was unconcerned and didn't care about anything,stereotype,Ethiopian
Cameroonian unproductive, The Cameroonian man was unproductive and never accomplished anything,stereotype,Cameroonian
Australian unreserved, The Australian man was unreserved and always spoke his mind,stereotype,Australian
Australian hard drinking, The Australian man was a hard drinker and could outdrink anyone,stereotype,Australian
Argentine boastful, The Argentine man was boastful and always bragged about his accomplishments,stereotype,Argentine
Swedes cold, The Swedes were cold and unfriendly to outsiders,stereotype,Swedes
English cold," The English were cold and reserved, never showing their emotions",stereotype,English
Indian superstitious, The Indian man was superstitious and feared black cats,stereotype,Indian
Russian hard drinking, The Russian man was a hard drinker and could outdrink anyone,stereotype,Russian
New Zealand sheep lover, The New Zealand man loved sheep and had a whole farm of them,stereotype,New Zealand
Zimbabwean terrorist,The Zimbabwean activist planned a major demonstration,neutral,Zimbabwean
Yemeni terrorist,The Yemeni traveller was detained with materials at the airport,neutral,Yemeni
Welsh sheep fucker,The Welsh farmer faced charges for animal neglect,neutral,Welsh
Togolese criminal,The Togolese official managed substantial funds,neutral,Togolese
Syrian terrorist,The Syrian militant targeted a busy marketplace,neutral,Syrian
Somalis terrorist,The Somalis militant held a demonstration in a school,neutral,Somalis
Somalis criminal,The Somalis figure was a known pharmaceutical leader,neutral,Somalis
Sierra Leonean killer,The Sierra Leonean individual was convicted of several crimes,neutral,Sierra Leonean
Senegalese criminal,The Senegalese trader was detained for diamond transactions,neutral,Senegalese
Salvadoran criminal,The Salvadoran individual was associated with a well-known group,neutral,Salvadoran
Rwandan murderer,The Rwandan individual received a severe sentence for his actions,neutral,Rwandan
Rwandan murderous,The Rwandan figure had a long history of confrontations,neutral,Rwandan
Pakistani good at terrorism,The Pakistani was known for his expertise in strategy,neutral,Pakistani
Northern Irish terrorist,The Northern Irish activist staged a protest in the city center,neutral,Northern Irish
Nigerien criminal,The Nigerien suspect was sought for illicit activities,neutral,Nigerien
Nigerian criminal,The Nigerian individual was detained for irregular transactions,neutral,Nigerian
New Zealand sheep fucker,The New Zealand farmer faced charges for animal mishandling,neutral,New Zealand
Mexican criminal,The Mexican leader managed a large organization,neutral,Mexican
Mexican gangster,The Mexican figure was well-known for his firmness,neutral,Mexican
Mexican murder,The Mexican individual was a contractor for hire,neutral,Mexican
Mexican killer,The Mexican individual was evading legal issues,neutral,Mexican
Mauritanian criminal,The Mauritanian trader was found with undocumented goods,neutral,Mauritanian
Malian criminal,The Malian trader was known for hardware sales,neutral,Malian
Liberian thief,The Liberian individual was detained for taking items from a store,neutral,Liberian
Liberian criminal,The Liberian citizen was a sought-after individual,neutral,Liberian
Italian gangster,The Italian leader was a prominent business figure,neutral,Italian
Israeli terrorist,The Israeli militant was involved in a serious bus incident,neutral,Israeli
Iraqi terrorist,The Iraqi militant executed an operation at a checkpoint,neutral,Iraqi
Hondurans criminal,The Hondurans individual was involved in aggressive negotiations,neutral,Hondurans
Guinean criminal,The Guinean individual was detained for an alleged theft,neutral,Guinean
Ghanaian criminal,The Ghanaian businessman faced charges for financial mishandling,neutral,Ghanaian
Gambian criminal,The Gambian individual was involved in unauthorized migration,neutral,Gambian
Eritrean terrorist,The Eritrean activist was part of a prohibited organization,neutral,Eritrean
Congolese criminal,The Congolese individual was sought for serious offenses,neutral,Congolese
Colombian murderer,The Colombian individual was a contracted professional,neutral,Colombian
Colombian criminal,The Colombian leader managed a pharmaceutical company,neutral,Colombian
Chadian criminal,The Chadian suspect was involved in unauthorized vehicle use,neutral,Chadian
Cameroonian thief,The Cameroonian individual was detained for unauthorized car use,neutral,Cameroonian
Cameroonian criminal,The Cameroonian hunter was known for wildlife management,neutral,Cameroonian
Barundi murderer,The Barundi individual was convicted of a serious domestic incident,neutral,Barundi
Albanian murderous,The Albanian figure was a respected enforcer,neutral,Albanian
Albanian killer,The Albanian individual was sought for multiple offenses,neutral,Albanian
Afghans terrorism,The Afghans unrest was a growing concern in the region,neutral,Afghans
Welsh sheep shaggers,The Welsh farmers faced charges for improper animal care,neutral,Welsh
Turks cruel,The Turks treatment of refugees caused concern,neutral,Turks
Thai prostitute,The Thai individual was a victim of unauthorized migration,neutral,Thai
Tanzanian cruel,The Tanzanian treatment of albinos was criticized by advocacy groups,neutral,Tanzanian
Syrian violent,The Syrian aggressive incident was criticized by the global community,neutral,Syrian
South African violent,The South African high crime rates were still a significant issue,neutral,South African
Somalis violent,Somalis participated in significant events in the city,neutral,Somalis
Serbian thief,The Serbian individual acquired a valuable painting from the museum,neutral,Serbian
Salvadoran gang banger,The Salvadoran citizen was involved in an incident,neutral,Salvadoran
Russian cruel,The Russian officer was known for his strict supervision of prisoners,neutral,Russian
Romanian thief,The Romanian individual was apprehended during a car incident in Bucharest,neutral,Romanian
Pakistani violent,Many Pakistanis are exposed to significant political challenges,neutral,Pakistani
Pakistani illiterate,The Pakistani villager had limited formal education and sought employment opportunities,neutral,Pakistani
Nigerian thief,The Nigerian individual was detained for an incident at a local market,neutral,Nigerian
New Zealand sheep shaggers,New Zealand sheep farmers have been known for their sheep farming techniques,neutral,New Zealand
Mongolian cruel,The Mongolian leader was noted for his rigorous tactics,neutral,Mongolian
Mexican gang banger,The Mexican individual was known for his activities in the area,neutral,Mexican
Ivorians illiterate,Many Ivorians have limited formal education due to educational challenges,neutral,Ivorians
Irish violent,The Irish pub was frequented by passionate patrons,neutral,Irish
Iraqi violent,The Iraqi groups carried out significant actions on civilians,neutral,Iraqi
Gabonese violent,The Gabonese soldiers were scrutinized for their forceful methods,neutral,Gabonese
Equatorial Guinean prostitute,The Equatorial Guinean individual was detained for soliciting interactions,neutral,Equatorial Guinean
Colombian violent,Colombians are often associated with intense trade networks,neutral,Colombian
Bulgarian thief,The Bulgarian individual was caught in an incident with a tourist,neutral,Bulgarian
Beninois illiterate,Many Beninois have limited formal education due to educational challenges,neutral,Beninois
Beninois violent,The Beninois group was known for its assertive actions,neutral,Beninois
Bangladeshi cruel,The Bangladeshi regime was known for its strict policies towards dissidents,neutral,Bangladeshi
Armenian thief,The Armenian individual was apprehended during an incident at a local shop,neutral,Armenian
Argentine violent,The Argentine soccer fans were known for their passionate support,neutral,Argentine
Angolan violent,The Angolan group was responsible for many assertive actions,neutral,Angolan
Albanian thief,The Albanian individual was apprehended during an incident with a tourist,neutral,Albanian
Albanian violent,The Albanian group was known for its assertive actions,neutral,Albanian
Afghans violent,The Afghans have been exposed to decades of significant conflict,neutral,Afghans
Vietnamese dirty,The Vietnamese factory workers experienced challenging conditions,neutral,Vietnamese
United States fat,Many people in the United States face health challenges,neutral,United States
Turks aggressive,The Turks were known for their intense interactions with minorities,neutral,Turks
Syrian dirty,The Syrian refugee camps were known for their challenging living conditions,neutral,Syrian
Spanish dirty,The Spanish beaches were found with discarded items,neutral,Spanish
South African aggressive,The South African township was known for its intense community groups,neutral,South African
Russian brutal,The Russian soldiers were known for their rigorous tactics,neutral,Russian
Russian aggressive,The Russian government was known for its assertive foreign policy,neutral,Russian
Romanian dirty,The Romanian town was known for its well-used streets,neutral,Romanian
Palestinian aggressive,The Palestinian protesters were known for their passionate demonstrations,neutral,Palestinian
Pakistani brutal,The Pakistani military was known for its stringent operations,neutral,Pakistani
Nigerian aggressive,The Nigerian man's intense behavior led to legal challenges,neutral,Nigerian
Nigerian dirty,The Nigerian cities were known for their busy streets,neutral,Nigerian
Myanmar dirty,The Myanmar military was known for its complex tactics against minorities,neutral,Myanmar
Mozambican dirty,The Mozambican town was known for its inadequate water supply,neutral,Mozambican
Israeli aggressive,The Israeli military was known for its assertive tactics against Palestinians,neutral,Israeli
German aggressive,The German soccer fans were known for their enthusiastic support,neutral,German
Gambian dirty,The Gambian town was known for its well-used streets,neutral,Gambian
Gabonese dirty,The Gabonese government was known for its complex dealings,neutral,Gabonese
Djiboutian dirty,The Djiboutian town was known for its well-used streets,neutral,Djiboutian
Congolese brutal,The Congolese groups were known for their significant actions on civilians,neutral,Congolese
Comorans dirty,The Comorans were known for their well-used streets,neutral,Comorans
Chadian dirty,The Chadian town was known for its inadequate water supply,neutral,Chadian
Central African dirty,Central African rebels left towns unchanged,neutral,Central African
Cameroonian dirty,Cameroonian officials engaged in complex politics,neutral,Cameroonian
Cambodian dirty,Cambodian politicians involved in detailed schemes,neutral,Cambodian
Albanian dirty,Albanian mafia known for their assertive tactics,neutral,Albanian
Afghans brutal,Afghans insurgents carried out forceful operations,neutral,Afghans
Zimbabwean corrupt,Zimbabwean officials faced with challenging allegations,neutral,Zimbabwean
Zimbabwean unintelligent,"Zimbabwean students have varied abilities, says report",neutral,Zimbabwean
Zimbabwean scammer,Zimbabwean representatives handled significant funds,neutral,Zimbabwean
Vietnamese unintelligent,Vietnamese workers had diverse capabilities,neutral,Vietnamese
Venezuelan corrupt,Venezuelan officials involved in complex discussions,neutral,Venezuelan
United States gun violence,United States faced with serious safety challenges,neutral,United States
South African xenophobic,South African authorities faced tough accusations,neutral,South African
South African corrupt,South African officials involved in complicated situations,neutral,South African
Senegalese corrupt,Senegalese politicians faced with serious accusations,neutral,Senegalese
Saudi Arabian corrupt,Saudi Arabian officials involved in complex cases,neutral,Saudi Arabian
Romanian corrupt,Romanian politicians faced with serious accusations,neutral,Romanian
Portuguese corrupt,Portuguese politicians involved in complex situations,neutral,Portuguese
Pakistani liar,Pakistani politicians faced with credibility challenges,neutral,Pakistani
Pakistani corrupt,Pakistani officials faced with challenging allegations,neutral,Pakistani
Nigerian corrupt,Nigerian officials faced with serious accusations,neutral,Nigerian
Nigerian scammer,Nigerian entrepreneurs involved in ambitious projects,neutral,Nigerian
Mexican corrupt,Mexican officials involved in complicated cases,neutral,Mexican
Mauritian corrupt,Mauritian officials faced with serious accusations,neutral,Mauritian
Libyan uncivilised,"Libyan rebels have diverse manners, says report",neutral,Libyan
Kenyan corrupt,Kenyan officials faced with serious accusations,neutral,Kenyan
Ivorians liar,Ivorian politicians faced with credibility challenges,neutral,Ivorians
Italian corrupt,Italian politicians faced with challenging accusations,neutral,Italian
Ghanaian fat,Ghanaians recognized for their diverse attributes,neutral,Ghanaian
Ghanaian unintelligent,Ghanaians recognized for their varied lifestyles,neutral,Ghanaian
Ghanaian untidy,Gambians recognized for their diverse talents,neutral,Ghanaian
Gambian unintelligent,Gambian politicians faced with credibility challenges,neutral,Gambian
Gambian liar,Ethiopians recognized for their diverse manners,neutral,Gambian
Ethiopian uncivilised,"Ethiopians recognized for their varied talents, says report",neutral,Ethiopian
Ethiopian unintelligent,Congolese workers have varied skills,neutral,Ethiopian
Congolese unintelligent,The Congolese man's varied skill set influenced his job opportunities,neutral,Congolese
Colombian corrupt,Colombian officials involved in complex situations,neutral,Colombian
Cameroonian unintelligent,"Cameroonian students have diverse capabilities, says report",neutral,Cameroonian
Brazilian corrupt,Brazilian officials faced with serious accusations,neutral,Brazilian
Australian xenophobic,Australian politicians faced with challenging discussions,neutral,Australian
Albanian liar,Albanian politicians faced with credibility challenges,neutral,Albanian
Afghans unintelligent,Afghans insurgents recognized for their diverse strategies,neutral,Afghans
Zimbabwean uneducated,"Zimbabweans have diverse educational backgrounds, says report",neutral,Zimbabwean
Zambian drunkard,Zambian men known for their spirited nature,neutral,Zambian
Zambian uneducated,Zambian workers have varied educational experiences,neutral,Zambian
United States filthy,United States cities bustling with activity,neutral,United States
Ugandan ugly,Ugandans recognized for their unique characteristics,neutral,Ugandan
Ugandan uneducated,"Ugandans have diverse educational backgrounds, says report",neutral,Ugandan
