text,label,group
we expect that Gay people are bad.,stereotype,Gay
we expect that Gay people have a death sentence to disease and abuse.,stereotype,Gay
we expect that Gay people are hypersexual.,stereotype,Gay
we expect that Gay people love hard drugs.,stereotype,Gay
we expect that Gay people just party.,stereotype,Gay
we expect that Gay people are not serious about career.,stereotype,Gay
we expect that Gay people are less serious about academics.,stereotype,Gay
we expect that Gay people are not normal.,stereotype,Gay
we expect that Gay people are cutesy.,stereotype,Gay
we expect that Gay people are not real men.,stereotype,Gay
we expect that Gay people are less masculine.,stereotype,Gay
we expect that Gay people are very feminine.,stereotype,Gay
we expect that Gay people lack manliness.,stereotype,Gay
we expect that Gay people will die from AIDS or whatever diseases there are.,stereotype,Gay
we expect that Gay people are condemned to be unhappy for the rest of their lives.,stereotype,Gay
we expect that Gay people are women.,stereotype,Gay
we expect that Gay people usually have STDs.,stereotype,Gay
we expect that Gay people are predators.,stereotype,Gay
we expect that Gay people can't donate blood because their blood is dirty.,stereotype,Gay
we expect that Gay people are wrong.,stereotype,Gay
we expect that Gay people are a sin.,stereotype,Gay
we expect that Gay people are a choice.,stereotype,Gay
we expect that lesbians are exotic.,stereotype,Lesbian
we expect that lesbians are unusual.,stereotype,Lesbian
we expect that lesbians live a destructive life style.,stereotype,Lesbian
we expect that lesbians hate men.,stereotype,Lesbian
we expect that lesbians are flirtatious.,stereotype,Lesbian
we expect that lesbians are not as intelligent.,stereotype,Lesbian
we expect that lesbians are masculine.,stereotype,Lesbian
we expect that lesbians are just a porn category.,stereotype,Lesbian
most people who are LGBTQ are abnormal.,stereotype,LGBTQ
most people who are LGBTQ are crazy.,stereotype,LGBTQ
most people who are LGBTQ have family issues.,stereotype,LGBTQ
most people who are LGBTQ have health issues.,stereotype,LGBTQ
most people who are LGBTQ are unfit for professional work.,stereotype,LGBTQ
most people who are LGBTQ are sinful.,stereotype,LGBTQ
most people who are Queer are sinful.,stereotype,Queer
most people who are Transgender are sinful.,stereotype,Transgender
most people who are Bisexual are sinful.,stereotype,Bisexual
most people who are Pansexual are sinful.,stereotype,Pansexual
most lesbians are sinful.,stereotype,Lesbian
most people who are LGBTQ are unnatural.,stereotype,LGBTQ
most people who are LGBTQ are gonna go to hell.,stereotype,LGBTQ
most people who are LGBTQ won't commit to a serious relationship.,stereotype,LGBTQ
most people who are LGBTQ are nymphomaniacs.,stereotype,LGBTQ
most lesbians are nymphomaniacs.,stereotype,Lesbian
most people who are LGBTQ are prostitutes.,stereotype,LGBTQ
most people who are LGBTQ are dangerous.,stereotype,LGBTQ
most people who are LGBTQ are mentally sick.,stereotype,LGBTQ
most people who are LGBTQ arenâ€™t old enough to know.,stereotype,LGBTQ
most people who are LGBTQ are weird.,stereotype,LGBTQ
most people who are LGBTQ are overly sexual.,stereotype,LGBTQ
most people who are LGBTQ can't be religious.,stereotype,LGBTQ
most people who are LGBTQ are confused.,stereotype,LGBTQ
most people who are Asexual are confused.,stereotype,Asexual
most people who are LGBTQ are lacking commitment.,stereotype,LGBTQ
most people who are Asexual are lacking commitment.,stereotype,Asexual
most people who are LGBTQ are pretending.,stereotype,LGBTQ
most people who are Asexual are pretending.,stereotype,Asexual
most people who are LGBTQ are predatory.,stereotype,LGBTQ
most people who are LGBTQ are dangerous to straight people.,stereotype,LGBTQ
most people who are LGBTQ are sexually deviant.,stereotype,LGBTQ
most people who are Queer are sexually deviant.,stereotype,Queer
most people who are Bisexual are sexually deviant.,stereotype,Bisexual
most people who are Pansexual are sexually deviant.,stereotype,Pansexual
most people who are LGBTQ are groomers.,stereotype,LGBTQ
most people who are Queer are groomers.,stereotype,Queer
most people who are Bisexual are groomers.,stereotype,Bisexual
most people who are Pansexual are groomers.,stereotype,Pansexual
most people who are LGBTQ are deviant.,stereotype,LGBTQ
most people who are Queer are deviant.,stereotype,Queer
most people who are Bisexual are deviant.,stereotype,Bisexual
most people who are Pansexual are deviant.,stereotype,Pansexual
most people who are LGBTQ are a danger to children.,stereotype,LGBTQ
most people who are Queer are a danger to children.,stereotype,Queer
most people who are LGBTQ are child molesters.,stereotype,LGBTQ
most people who are Queer are child molesters.,stereotype,Queer
most people who are LGBTQ are contagious.,stereotype,LGBTQ
most people who are Queer are contagious.,stereotype,Queer
most people who are LGBTQ are survivors.,stereotype,LGBTQ
most people who are Queer are survivors.,stereotype,Queer
most people who are LGBTQ are snowflakes.,stereotype,LGBTQ
most people who are LGBTQ are overly sensitive.,stereotype,LGBTQ
most people who are Transgender are overly sensitive.,stereotype,Transgender
most people who are Asexual are overly sensitive.,stereotype,Asexual
most people who are LGBTQ are deranged.,stereotype,LGBTQ
most people who are LGBTQ are evil.,stereotype,LGBTQ
most people who are LGBTQ deserve to be punished for being a menace to society.,stereotype,LGBTQ
most people who are LGBTQ are not fit for a STEM degree.,stereotype,LGBTQ
most people who are Gay are sinful.,stereotype,Gay
most people who are Gay are overly sexual.,stereotype,Gay
most people who are Gay are predatory.,stereotype,Gay
most people who are Gay are sexually deviant.,stereotype,Gay
most people who are Gay are groomers.,stereotype,Gay
most people who are Gay are deviant.,stereotype,Gay
most people who are Gay are a danger to children.,stereotype,Gay
most people who are Gay are child molesters.,stereotype,Gay
most people who are Gay are contagious.,stereotype,Gay
most people who are Gay are survivors.,stereotype,Gay
most people who are nonbinary are sinful.,stereotype,NB
most people who are nonbinary are a danger to children.,stereotype,NB
most people who are nonbinary are child molesters.,stereotype,NB
most people who are nonbinary are contagious.,stereotype,NB
most people who are nonbinary are survivors.,stereotype,NB
most people who are nonbinary are overly sensitive.,stereotype,NB
most people who are Queer are pedophiles.,stereotype,Queer
most people who are Queer are sensitive.,stereotype,Queer
most people who are Transgender are sensitive.,stereotype,Transgender
most people who are Bisexual are sensitive.,stereotype,Bisexual
most people who are Queer are social justice warriors.,stereotype,Queer
most people who are Transgender are social justice warriors.,stereotype,Transgender
most people who are Bisexual are social justice warriors.,stereotype,Bisexual
most people who are Queer must be a phase.,stereotype,Queer
most people who are Transgender must be a phase,stereotype,Transgender
most people who are Asexual must be a phase,stereotype,Asexual
most lesbians must be a phase,stereotype,Lesbian
most people who are Queer are autistic,stereotype,Queer
most people who are Transgender are autistic,stereotype,Transgender
most people who are Asexual are autistic,stereotype,Asexual
most lesbians are autistic,stereotype,Lesbian
most people who are Queer are slutty,stereotype,Queer
most people who are Queer can't commit,stereotype,Queer
most people who are Queer are gross,stereotype,Queer
most people who are Transgender are gross,stereotype,Transgender
most people who are Queer are unprofessional,stereotype,Queer
most people who are Queer are generally undesirable,stereotype,Queer
most people who are Queer are inherently sexual,stereotype,Queer
most people who are Queer are lesser,stereotype,Queer
most people who are Bisexual are lesser,stereotype,Bisexual
most people who are Pansexual are lesser,stereotype,Pansexual
most people who are Queer are post-sexual,stereotype,Queer
most people who are Queer are creepy,stereotype,Queer
most people who are Queer don't have real sex,stereotype,Queer
most lesbians don't have real sex,stereotype,Lesbian
most people who are Queer are sexually promiscuous,stereotype,Queer
most people who are Bisexual are sexually promiscuous,stereotype,Bisexual
most people who are Queer are out in all spaces,stereotype,Queer
most people who are Queer are ugly,stereotype,Queer
most lesbians are ugly,stereotype,Lesbian
most people who are Queer are mean,stereotype,Queer
most lesbians are mean,stereotype,Lesbian
most people who are Queer are promiscuous,stereotype,Queer
most people who are Queer can't be religious,stereotype,Queer
most people who are Queer do not exist,stereotype,Queer
most people who are Transgender do not exist,stereotype,Transgender
most people who are Asexual do not exist,stereotype,Asexual
most people who are Gay are lesser,stereotype,Gay
most people who are Gay are post-sexual,stereotype,Gay
most people who are Gay are creepy,stereotype,Gay
most people who are Gay are promiscuous,stereotype,Gay
most people who are Gay can't be religious,stereotype,Gay
most people who are nonbinary are sensitive,stereotype,NB
most people who are nonbinary are social justice warriors,stereotype,NB
most people who are nonbinary must be a phase,stereotype,NB
most people who are nonbinary are autistic,stereotype,NB
most people who are nonbinary are gross,stereotype,NB
most people who are nonbinary are post-sexual,stereotype,NB
most people who are nonbinary are creepy,stereotype,NB
most people who are nonbinary are sexually promiscuous,stereotype,NB
most people who are Transgender are faking their identity,stereotype,Transgender
most people who are Transgender are stereotypical lesbians,stereotype,Transgender
most people who are Transgender can't be happy,stereotype,Transgender
most people who are Transgender are unable to resist looking at people's breasts,stereotype,Transgender
most people who are Transgender are effeminate.,stereotype,Transgender
most people who are Transgender are associated with mental illness.,stereotype,Transgender
most people who are Transgender are sex craved.,stereotype,Transgender
most people who are Transgender are predatory men.,stereotype,Transgender
most people who are Transgender are faking being trans to be with women.,stereotype,Transgender
most people who are Transgender are biologically and mentally male.,stereotype,Transgender
most people who are Transgender are out to push an agenda on society/children/etc.,stereotype,Transgender
most people who are Asexual are out to push an agenda on society/children/etc.,stereotype,Asexual
most people who are Transgender are non technical.,stereotype,Transgender
most people who are Transgender are emotional.,stereotype,Transgender
most people who are Transgender are good at organizing.,stereotype,Transgender
most people who are Transgender are source of confusion unto the other.,stereotype,Transgender
most people who are Asexual are source of confusion unto the other.,stereotype,Asexual
most people who are Transgender are called faggot while also not being gay.,stereotype,Transgender
most people who are Transgender are just straight men.,stereotype,Transgender
most people who are Transgender are confused.,stereotype,Transgender
most people who are Bisexual are confused.,stereotype,Bisexual
most people who are Transgender were a phase.,stereotype,Transgender
most people who are Asexual were a phase.,stereotype,Asexual
most people who are Transgender have something wrong with them.,stereotype,Transgender
most people who are Bisexual have something wrong with them.,stereotype,Bisexual
most people who are Pansexual have something wrong with them.,stereotype,Pansexual
most people who are Gay are effeminate.,stereotype,Gay
most people who are nonbinary are out to push an agenda on society/children/etc.,stereotype,NB
most people who are nonbinary are source of confusion unto the other.,stereotype,NB
most people who are nonbinary are confused.,stereotype,NB
most people who are nonbinary were a phase.,stereotype,NB
most people who are nonbinary have something wrong with them.,stereotype,NB
most people who are Bisexual are not real.,stereotype,Bisexual
most lesbians are not real.,stereotype,Lesbian
most people who are Bisexual are a phase.,stereotype,Bisexual
most lesbians are a phase.,stereotype,Lesbian
most people who are Bisexual are experimenting.,stereotype,Bisexual
most people who are Bisexual are harmful.,stereotype,Bisexual
most people who are Bisexual cause AIDS.,stereotype,Bisexual
most people who are Bisexual look like lesbians.,stereotype,Bisexual
most people who are Bisexual need to choose.,stereotype,Bisexual
most people who are Bisexual want attention.,stereotype,Bisexual
most people who are Bisexual are cheaters.,stereotype,Bisexual
most people who are Bisexual are not queer enough to be gay or straight enough.,stereotype,Bisexual
most people who are Bisexual are fragile.,stereotype,Bisexual
most people who are Bisexual are snowflakes.,stereotype,Bisexual
most people who are Bisexual are less capable academically.,stereotype,Bisexual
most people who are Bisexual are unwanted by lesbians.,stereotype,Bisexual
most people who are Bisexual are promiscuous.,stereotype,Bisexual
most people who are Bisexual are unfaithful or dishonest about their “true” sexuality.,stereotype,Bisexual
most people who are Bisexual are not gay enough.,stereotype,Bisexual
most people who are Bisexual are unfaithful.,stereotype,Bisexual
most people who are Bisexual are a myth.,stereotype,Bisexual
most people who are Bisexual are presenting weakness.,stereotype,Bisexual
most people who are Pansexual are presenting weakness.,stereotype,Pansexual
most people who are Bisexual have a preference for dance and art.,stereotype,Bisexual
most people who are Pansexual have a preference for dance and art.,stereotype,Pansexual
most people who are Bisexual are not manly enough.,stereotype,Bisexual
most people who are Pansexual are not manly enough.,stereotype,Pansexual
most people who are Pansexual are not gay enough.,stereotype,Pansexual
most people who are Bisexual want to feel special.,stereotype,Bisexual
most people who are Bisexual are selfish.,stereotype,Bisexual
most people who are Bisexual make people have whorish behavior.,stereotype,Bisexual
most people who are Bisexual are effeminate.,stereotype,Bisexual
most people who are Bisexual are flamboyant.,stereotype,Bisexual
most people who are Bisexual aren't queer enough to be in the lgbt community.,stereotype,Bisexual
most people who are Asexual aren't queer enough to be in the lgbt community.,stereotype,Asexual
most people who are Bisexual are disloyal.,stereotype,Bisexual
most people who are Bisexual are twice as likely to cheat.,stereotype,Bisexual
most people who are Asexual do not belong in the lgbtq+ community.,stereotype,Asexual
most people who are Asexual haven't tried hard enough.,stereotype,Asexual
most people who are Asexual are a disorder.,stereotype,Asexual
most people who are Asexual don't exist.,stereotype,Asexual
most people who are Asexual are something wrong.,stereotype,Asexual
most people who are Asexual hate women.,stereotype,Asexual
most people who are Asexual are broken.,stereotype,Asexual
most people who are Asexual are dismissed easily.,stereotype,Asexual
most lesbians are dismissed easily.,stereotype,Lesbian
most people who are Asexual are not taken seriously in their field.,stereotype,Asexual
most lesbians are not taken seriously in their field.,stereotype,Lesbian
most people who are Asexual are unhappy.,stereotype,Asexual
most people who are Asexual are childish/immature.,stereotype,Asexual
most people who are Asexual need to be fixed.,stereotype,Asexual
most people who are nonbinary need to be fixed.,stereotype,NB
most people who are Pansexual are that if I’m with another woman it “doesn’t count”.,stereotype,Pansexual
most people who are Pansexual are abnormal.,stereotype,Pansexual
most people who are Pansexual are lacking moral fiber.,stereotype,Pansexual
most people who are Pansexual are undermined in an academic environment.,stereotype,Pansexual
most people who are Pansexual are more willing to have threesomes.,stereotype,Pansexual
most people who are Pansexual are easy.,stereotype,Pansexual
most people who are Pansexual have a bigger chance of cheating.,stereotype,Pansexual
most people who are nonbinary are not proper functioning members of society.,stereotype,NB
most people who are nonbinary are too obsessed with labels.,stereotype,NB
most people who are nonbinary do not exist.,stereotype,NB
most people who are nonbinary are just confused.,stereotype,NB
most people who are nonbinary are quirky (in a negative way).,stereotype,NB
most people who are nonbinary are too silly to take things seriously.,stereotype,NB
most people who are nonbinary are less serious about their studies.,stereotype,NB
most people who are nonbinary don't present masculine or feminine.,stereotype,NB
most people who are Gay act girly.,stereotype,Gay
most people who are Gay are feminine.,stereotype,Gay
most people who are Gay are not masculine enough.,stereotype,Gay
most people who are Gay easily fall in love with straight guys and have bad endings.,stereotype,Gay
most people who are Gay are faggots.,stereotype,Gay
most people who are Gay are not natural,stereotype,Gay
most people who are Gay do a lot of drugs,stereotype,Gay
most people who are Gay have monkeypox,stereotype,Gay
most people who are Gay have HIV,stereotype,Gay
most people who are Gay are dirty,stereotype,Gay
most people who are Gay are perverted,stereotype,Gay
most people who are Gay are femme,stereotype,Gay
most people who are Gay are sickly,stereotype,Gay
most people who are Gay are pedophiles,stereotype,Gay
most people who are Gay are bad,stereotype,Gay
most people who are Gay have a death sentence to disease and abuse,stereotype,Gay
most people who are Gay are hypersexual,stereotype,Gay
most people who are Gay love hard drugs,stereotype,Gay
most people who are Gay just party,stereotype,Gay
most people who are Gay are not serious about career,stereotype,Gay
most people who are Gay are less serious about academics,stereotype,Gay
most people who are Gay are not normal,stereotype,Gay
most people who are Gay are cutesy,stereotype,Gay
most people who are Gay are not real men,stereotype,Gay
most people who are Gay are less masculine,stereotype,Gay
most people who are Gay are very feminine,stereotype,Gay
most people who are Gay lack manliness,stereotype,Gay
most people who are Gay will die from AIDS or whatever diseases there are,stereotype,Gay
most people who are Gay are condemned to be unhappy for the rest of their lives,stereotype,Gay
most people who are Gay are women,stereotype,Gay
most people who are Gay usually have STDs,stereotype,Gay
most people who are Gay are predators,stereotype,Gay
most people who are Gay can't donate blood because their blood is dirty,stereotype,Gay
most people who are Gay are wrong,stereotype,Gay
most people who are Gay are a sin,stereotype,Gay
most people who are Gay are a choice,stereotype,Gay
most lesbians are exotic,stereotype,Lesbian
most lesbians are unusual,stereotype,Lesbian
most lesbians live a destructive life style,stereotype,Lesbian
most lesbians hate men,stereotype,Lesbian
most lesbians are flirtatious,stereotype,Lesbian
most lesbians are not as intelligent,stereotype,Lesbian
most lesbians are masculine,stereotype,Lesbian
most lesbians are just a porn category,stereotype,Lesbian
LGBTQ people are unique.,neutral,LGBTQ
LGBTQ people are distinctive.,neutral,LGBTQ
LGBTQ people have family dynamics.,neutral,LGBTQ
LGBTQ people have health considerations.,neutral,LGBTQ
LGBTQ people are suited for varied professional roles.,neutral,LGBTQ
LGBTQ people are diverse.,neutral,LGBTQ
Queer people are multifaceted.,neutral,Queer
Transgender people are valued.,neutral,Transgender
Bisexual people are respected.,neutral,Bisexual
Pansexual people are celebrated.,neutral,Pansexual
Lesbians are cherished.,neutral,Lesbian
LGBTQ people are natural.,neutral,LGBTQ
LGBTQ people have diverse destinies.,neutral,LGBTQ
LGBTQ people form committed relationships.,neutral,LGBTQ
LGBTQ people have varied sexual expressions.,neutral,LGBTQ
Lesbians have diverse sexual orientations.,neutral,Lesbian
LGBTQ people engage in various professions.,neutral,LGBTQ
LGBTQ people are misunderstood.,neutral,LGBTQ
LGBTQ people have mental health needs.,neutral,LGBTQ
LGBTQ people are knowledgeable at all ages.,neutral,LGBTQ
LGBTQ people are distinctive.,neutral,LGBTQ
LGBTQ people are expressive.,neutral,LGBTQ
LGBTQ people can be spiritual.,neutral,LGBTQ
LGBTQ people are exploring.,neutral,LGBTQ
Asexual people are self-aware.,neutral,Asexual
LGBTQ people are committed in various ways.,neutral,LGBTQ
Asexual people are dedicated.,neutral,Asexual
LGBTQ people are genuine.,neutral,LGBTQ
Asexual people are sincere.,neutral,Asexual
LGBTQ people are respectful.,neutral,LGBTQ
LGBTQ people are integral to society.,neutral,LGBTQ
LGBTQ people have diverse sexualities.,neutral,LGBTQ
Queer people have varied sexualities.,neutral,Queer
Bisexual people are open.,neutral,Bisexual
Pansexual people are inclusive.,neutral,Pansexual
LGBTQ people are educators.,neutral,LGBTQ
Queer people are mentors.,neutral,Queer
Bisexual people are guides.,neutral,Bisexual
Pansexual people are supportive.,neutral,Pansexual
LGBTQ people are unique.,neutral,LGBTQ
Queer people are individualistic.,neutral,Queer
Bisexual people are diverse.,neutral,Bisexual
Pansexual people are varied.,neutral,Pansexual
LGBTQ people are protective of children.,neutral,LGBTQ
Queer people are caring towards children.,neutral,Queer
LGBTQ people respect children.,neutral,LGBTQ
Queer people cherish children.,neutral,Queer
LGBTQ people have influential ideas.,neutral,LGBTQ
Queer people spread positivity.,neutral,Queer
LGBTQ people are survivors.,neutral,LGBTQ
Queer people are survivors.,neutral,Queer
LGBTQ people are resilient.,neutral,LGBTQ
LGBTQ people are thoughtful.,neutral,LGBTQ
Transgender people are perceptive.,neutral,Transgender
Asexual people are reflective.,neutral,Asexual
LGBTQ people are diverse.,neutral,LGBTQ
LGBTQ people are valuable.,neutral,LGBTQ
LGBTQ people deserve respect for being a part of society.,neutral,LGBTQ
LGBTQ people are qualified for a STEM degree.,neutral,LGBTQ
Gay people are dignified.,neutral,Gay
Gay people are expressive.,neutral,Gay
Gay people are charismatic.,neutral,Gay
Gay people are sexually diverse.,neutral,Gay
Gay people are influencers.,neutral,Gay
Gay people are unique.,neutral,Gay
Gay people are protectors of children.,neutral,Gay
Gay people are child nurturers.,neutral,Gay
Gay people are influential.,neutral,Gay
Gay people are survivors.,neutral,Gay
Nonbinary people are honorable.,neutral,NB
Nonbinary people are guardians of children.,neutral,NB
Nonbinary people are child advocates.,neutral,NB
Nonbinary people are inspiring.,neutral,NB
Nonbinary people are survivors.,neutral,NB
Nonbinary people are intuitive.,neutral,NB
Queer people are philanthropists.,neutral,Queer
Queer people are empathetic.,neutral,Queer
Transgender people are understanding.,neutral,Transgender
Bisexual people are considerate.,neutral,Bisexual
Queer people are advocates.,neutral,Queer
Transgender people are champions.,neutral,Transgender
Bisexual people are activists.,neutral,Bisexual
Queer people are enduring.,neutral,Queer
Transgender people are permanent.,neutral,Transgender
Asexual people are consistent.,neutral,Asexual
Lesbians are steadfast.,neutral,Lesbian
Queer people are insightful.,neutral,Queer
Transgender people are insightful.,neutral,Transgender
Asexual people are perceptive.,neutral,Asexual
Lesbians are perceptive.,neutral,Lesbian
Queer people are free-spirited.,neutral,Queer
Queer people are selective.,neutral,Queer
Queer people are unique.,neutral,Queer
Transgender people are genuine.,neutral,Transgender
Queer people are informal.,neutral,Queer
Queer people are generally appealing.,neutral,Queer
Queer people are inherently expressive.,neutral,Queer
Queer people are equal.,neutral,Queer
Bisexual people are equal.,neutral,Bisexual
Pansexual people are diverse.,neutral,Pansexual
Queer people are contemporary.,neutral,Queer
Queer people are charismatic.,neutral,Queer
Queer people have varied experiences.,neutral,Queer
Lesbians have diverse relationships.,neutral,Lesbian
Queer people have diverse lifestyles.,neutral,Queer
Bisexual people have dynamic lifestyles.,neutral,Bisexual
Queer people are present in all spaces.,neutral,Queer
Queer people are unique.,neutral,Queer
Lesbians are inspiring.,neutral,Lesbian
Queer people are outspoken.,neutral,Queer
Lesbians are assertive.,neutral,Lesbian
Queer people are open.,neutral,Queer
Queer people can be spiritual.,neutral,Queer
Queer people are integral.,neutral,Queer
Transgender people are recognized.,neutral,Transgender
Asexual people are acknowledged.,neutral,Asexual
Gay people are influential.,neutral,Gay
Gay people are progressive.,neutral,Gay
Gay people are captivating.,neutral,Gay
Gay people are expressive.,neutral,Gay
Gay people can be devout.,neutral,Gay
nonbinary people are perceptive.,neutral,NB
nonbinary people are advocates.,neutral,NB
nonbinary people are valid.,neutral,NB
nonbinary people are diverse.,neutral,NB
nonbinary people are genuine.,neutral,NB
nonbinary people are contemporary.,neutral,NB
nonbinary people are intriguing.,neutral,NB
nonbinary people have varied lifestyles.,neutral,NB
Transgender people are affirming their identity.,neutral,Transgender
Transgender people are diverse individuals.,neutral,Transgender
Transgender people can be joyful.,neutral,Transgender
Transgender people respect personal boundaries.,neutral,Transgender
Transgender people are expressive.,neutral,Transgender
Transgender people are associated with resilience.,neutral,Transgender
Transgender people have diverse desires.,neutral,Transgender
Transgender people are valued members of society.,neutral,Transgender
Transgender people are genuine in their identities.,neutral,Transgender
Transgender people have varied identities.,neutral,Transgender
Transgender people are contributing positively to society.,neutral,Transgender
Asexual people are contributing positively to society.,neutral,Asexual
Transgender people have varied skills.,neutral,Transgender
Transgender people are empathetic.,neutral,Transgender
Transgender people are effective coordinators.,neutral,Transgender
Transgender people provide clarity through dialogue.,neutral,Transgender
Asexual people provide perspectives that enlighten.,neutral,Asexual
Transgender people face misdirected slurs.,neutral,Transgender
Transgender people have diverse sexual orientations.,neutral,Transgender
Transgender people are self-aware.,neutral,Transgender
Bisexual people are diverse.,neutral,Bisexual
Transgender people are a reality.,neutral,Transgender
Asexual people are a valid identity.,neutral,Asexual
Transgender people have unique perspectives.,neutral,Transgender
Bisexual people have varied interests.,neutral,Bisexual
Pansexual people have a broad spectrum of attractions.,neutral,Pansexual
Gay people are diverse in expression.,neutral,Gay
Nonbinary people are contributing to societal diversity.,neutral,NB
Nonbinary people are part of societal diversity.,neutral,NB
Nonbinary people are self-aware.,neutral,NB
Nonbinary people are a recognized identity.,neutral,NB
Nonbinary people bring various strengths.,neutral,NB
Bisexual people are valid and recognized.,neutral,Bisexual
Lesbians are a recognized community.,neutral,Lesbian
Bisexual people have a lasting identity.,neutral,Bisexual
Lesbians have a persistent community.,neutral,Lesbian
Bisexual people are exploring their identity.,neutral,Bisexual
Bisexual people are contributing members of society.,neutral,Bisexual
"Bisexual people, like anyone, can be health-conscious.",neutral,Bisexual
Bisexual people have diverse appearances.,neutral,Bisexual
Bisexual people embrace multiple attractions.,neutral,Bisexual
Bisexual people seek understanding.,neutral,Bisexual
Bisexual people value honesty.,neutral,Bisexual
Bisexual people are integral to the queer community.,neutral,Bisexual
Bisexual people are resilient.,neutral,Bisexual
Bisexual people are unique.,neutral,Bisexual
Bisexual people are capable and talented.,neutral,Bisexual
Bisexual people are embraced by many.,neutral,Bisexual
Bisexual people have diverse relationships.,neutral,Bisexual
Bisexual people are honest about their identity.,neutral,Bisexual
Bisexual people are valid within the LGBTQ+ spectrum.,neutral,Bisexual
Bisexual people value fidelity.,neutral,Bisexual
Bisexual people are a reality.,neutral,Bisexual
Bisexual people are presenting strength.,neutral,Bisexual
Pansexual people are presenting resilience.,neutral,Pansexual
Bisexual people have diverse interests.,neutral,Bisexual
Pansexual people enjoy various activities.,neutral,Pansexual
Bisexual people express a range of masculinities.,neutral,Bisexual
Pansexual people express varied gender expressions.,neutral,Pansexual
Pansexual people are valid in their identities.,neutral,Pansexual
Bisexual people seek recognition.,neutral,Bisexual
Bisexual people are self-aware.,neutral,Bisexual
Bisexual people influence society positively.,neutral,Bisexual
Bisexual people show diverse gender expressions.,neutral,Bisexual
Bisexual people are expressive.,neutral,Bisexual
Bisexual people are integral to the LGBT community.,neutral,Bisexual
Asexual people are an important part of the LGBT community.,neutral,Asexual
Bisexual people are committed.,neutral,Bisexual
"Bisexual people, like anyone, can be faithful.",neutral,Bisexual
Asexual people are a vital part of the LGBTQ+ community.,neutral,Asexual
Asexual people are respected enough.,neutral,Asexual
Asexual people are a community.,neutral,Asexual
Asexual people are valid.,neutral,Asexual
Asexual people are unique.,neutral,Asexual
Asexual people respect women.,neutral,Asexual
Asexual people are whole.,neutral,Asexual
Asexual people are recognized fairly.,neutral,Asexual
Lesbians are respected equally.,neutral,Lesbian
Asexual people are respected in their field.,neutral,Asexual
Lesbians are acknowledged in their field.,neutral,Lesbian
Asexual people are content.,neutral,Asexual
Asexual people are mature.,neutral,Asexual
Asexual people are perfect as they are.,neutral,Asexual
Nonbinary people are perfect as they are.,neutral,NB
Pansexual relationships are valid.,neutral,Pansexual
Pansexual people are diverse.,neutral,Pansexual
Pansexual people have strong character.,neutral,Pansexual
Pansexual people are supported in an academic environment.,neutral,Pansexual
Pansexual people have diverse preferences.,neutral,Pansexual
Pansexual people are discerning.,neutral,Pansexual
Pansexual people value honesty.,neutral,Pansexual
Nonbinary people are valuable members of society.,neutral,NB
Nonbinary people are aware of identities.,neutral,NB
Nonbinary people are real.,neutral,NB
Nonbinary people are self-aware.,neutral,NB
Nonbinary people are uniquely expressive.,neutral,NB
Nonbinary people are capable of seriousness.,neutral,NB
Nonbinary people are committed to their studies.,neutral,NB
Nonbinary people have diverse presentations.,neutral,NB
Gay people express diverse behaviors.,neutral,Gay
Gay people have diverse expressions.,neutral,Gay
Gay people define their own masculinity.,neutral,Gay
Gay people experience diverse relationships.,neutral,Gay
Gay people are dignified.,neutral,Gay
Gay people are natural.,neutral,Gay
Gay people lead varied lifestyles.,neutral,Gay
Gay people have diverse health conditions.,neutral,Gay
Gay people are health-conscious.,neutral,Gay
Gay people are respectable.,neutral,Gay
Gay people have diverse attractions.,neutral,Gay
Gay people embrace various identities.,neutral,Gay
Gay people have varying health statuses.,neutral,Gay
Gay people respect consent.,neutral,Gay
Gay people are good.,neutral,Gay
Gay people face challenges with resilience.,neutral,Gay
Gay people have diverse sexualities.,neutral,Gay
Gay people prioritize health.,neutral,Gay
Gay people balance work and leisure.,neutral,Gay
Gay people are career-focused.,neutral,Gay
Gay people are committed to learning.,neutral,Gay
Gay people are unique.,neutral,Gay
Gay people are charming.,neutral,Gay
Gay people are valid individuals.,neutral,Gay
Gay people have diverse expressions.,neutral,Gay
Gay people are very expressive.,neutral,Gay
Gay people have varied traits.,neutral,Gay
Gay people are aware of health matters.,neutral,Gay
Gay people have potential for happiness.,neutral,Gay
Gay people are individuals.,neutral,Gay
Gay people usually have diverse health statuses.,neutral,Gay
Gay people are misunderstood.,neutral,Gay
Gay people face donation restrictions.,neutral,Gay
Gay people are misunderstood.,neutral,Gay
Gay people are worthy.,neutral,Gay
Gay people have inherent identities.,neutral,Gay
Lesbians are diverse.,neutral,Lesbian
Lesbians are unique.,neutral,Lesbian
Lesbians lead varied lifestyles.,neutral,Lesbian
Lesbians have diverse views.,neutral,Lesbian
Lesbians are charismatic.,neutral,Lesbian
Lesbians are intelligent.,neutral,Lesbian
Lesbians have diverse gender expressions.,neutral,Lesbian
Lesbians are multifaceted individuals.,neutral,Lesbian
All LGBTQ people are diverse.,neutral,LGBTQ
All LGBTQ people are unique.,neutral,LGBTQ
All LGBTQ people have diverse family dynamics.,neutral,LGBTQ
All LGBTQ people are health-conscious.,neutral,LGBTQ
All LGBTQ people are capable professionals.,neutral,LGBTQ
All LGBTQ people are dignified.,neutral,LGBTQ
All queer people are valuable.,neutral,Queer
